fixture_id,rule_id,case_type,applicability,input_state,expected_result,allowed_output,forbidden_output
C3-N,CORE-003,negative,MOBILE,"390px视口; 不可关闭弹窗持续覆盖主CTA",ISSUE,"测试视口核心任务被阻断","移动端转化下降X%"
C3-E,CORE-003,edge,MOBILE,"Cookie banner覆盖底部但有明显关闭且关闭后CTA正常",PASS,"可恢复遮挡","弹窗必然有害"
C4-P,CORE-004,positive,KEY_FORM,"input具有label或aria-labelledby",PASS,"关键控件可识别","无"
C4-N,CORE-004,negative,KEY_FORM,"邮箱输入仅placeholder且无可访问名称",ISSUE,"关键表单控件缺少可识别标签","用户因此放弃"
C4-E,CORE-004,edge,CUSTOM_CONTROL,"视觉无label但aria-label完整",PASS,"存在合法可访问名称","缺少标签Issue"
C6-P,CORE-006,positive,CORE_NAV,"核心内部链接均200/正常页面",PASS,"核心导航有效","无"
C6-N,CORE-006,negative,CORE_NAV,"Products导航稳定指向404",ISSUE,"核心内部导航链接损坏","网站整体导航差"
C6-E,CORE-006,edge,EXTERNAL_LINK,"Instagram外链暂时失败",NOT_APPLICABLE,"非核心内部链接","本站核心导航损坏"
C7-P,CORE-007,positive,DIRECT_PURCHASE,"PDP正常加载; CTA前显示$49",PASS,"购买前价格可见","无"
C7-N,CORE-007,negative,DIRECT_PURCHASE,"PDP正常加载; Buy Now存在; CTA前无价格且无计算规则",ISSUE,"直接购买价格不可确定","定价太高/太低"
C7-E,CORE-007,edge,QUOTE_BASED,"页面CTA=Request Quote; 无公开价格",NOT_APPLICABLE,"定制报价交易","缺少价格Issue"
C9-P,CORE-009,positive,INDEXABLE_COMMERCIAL,"商品页无noindex",PASS,"商业页允许索引","保证会排名"
C9-N,CORE-009,negative,INDEXABLE_COMMERCIAL,"商品页meta robots=noindex",ISSUE,"目标商业页被标记noindex","因此SEO流量低X%"
C9-E,CORE-009,edge,NON_INDEXABLE,"cart页面noindex",NOT_APPLICABLE,"非目标索引页","SEO错误"
C10-P,CORE-010,positive,PRODUCT_PAGE,"页面$49 USD; JSON-LD price=49 currency=USD",PASS,"结构化数据与可见事实一致","富结果必然展示"
C10-N,CORE-010,negative,PRODUCT_PAGE,"页面$49 USD; JSON-LD price=39 USD",ISSUE,"结构化价格与页面价格冲突","Google必然处罚"
C10-E,CORE-010,edge,LOCALIZED_PRODUCT,"页面EUR49; JSON-LD随locale为EUR49",PASS,"当前地区数据一致","用默认USD版本判冲突"
P1-P,PHYS-001,positive,PHYSICAL,"PDP购买区有Returns摘要或一步明显链接P0/P1",PASS,"退货信息可合理发现","政策足够宽松"
P1-N,PHYS-001,negative,PHYSICAL,"全站与帮助路径均未发现退货条件P4",ISSUE,"未找到适用于当前交易的退货信息","一定导致弃购"
P1-E,PHYS-001,edge,HIGH_CONSIDERATION_PHYSICAL,"退货信息仅帮助中心多跳P3",ISSUE,"退货信息存在但离购买决策较远","没有退货政策"
P2-P,PHYS-002,positive,PHYSICAL,"PDP/P1可找到运费或免邮门槛+预计时效",PASS,"配送关键条件可合理发现","配送方案最优"
P2-N,PHYS-002,negative,PHYSICAL,"购买前P0-P4均无法确认运费/时效",ISSUE,"关键配送信息未合理发现","因此损失X收入"
P2-E,PHYS-002,edge,INTERNATIONAL_PHYSICAL,"UK站明确GBP价格与UK配送; 扫描上下文UK",PASS,"当前地区配送信息清楚","用US配送规则评价"
S1-P,SUB-001,positive,PROMO_TO_STANDARD,"首月$19; 同一区域说明之后$49/月",PASS,"首期与后续标准价清楚","折扣力度合理"
S1-N,SUB-001,negative,PROMO_TO_STANDARD,"只显示首月$19; P0-P4未找到后续标准价",ISSUE,"后续标准收费难以发现","订阅价格太贵"
S1-E,SUB-001,edge,NO_INTRO_PROMO,"固定$29/月无首期优惠",NOT_APPLICABLE,"无首期转标准价结构","缺少标准价Issue"
S2-P,SUB-002,positive,RECURRING,"$49/month或every 30 days清楚",PASS,"扣费周期清楚","无"
S2-N,SUB-002,negative,RECURRING,"显示$49 Subscription但未说明周/月/年/每次配送",ISSUE,"扣费周期无法确认","订阅不划算"
S2-E,SUB-002,edge,ONE_TIME,"一次性购买$49",NOT_APPLICABLE,"非周期交易","缺少扣费周期"
S3-P,SUB-003,positive,RECURRING,"购买区明确auto-renew/continues until cancelled",PASS,"自动续费事实清楚","续费策略最优"
S3-N,SUB-003,negative,RECURRING,"实际周期收费但购买路径无续费说明",ISSUE,"自动续费事实难以发现","商家故意欺骗"
S3-E,SUB-003,edge,PREPAID_FIXED_TERM,"一次性购买12个月且明确不会自动续费",NOT_APPLICABLE,"非自动续费","缺少auto-renew说明"
S4-P,SUB-004,positive,TRIAL_TO_PAID,"14天免费; 第15天$99/年; 自动转付费明确",PASS,"试用转付费关键事实清楚","无"
S4-N,SUB-004,negative,TRIAL_TO_PAID,"只写14-day free trial; 后续金额/自动转付费未找到",ISSUE,"试用后的收费事实不完整","一定构成违法"
S4-E,SUB-004,edge,FREE_FOREVER,"免费计划无自动付费转换",NOT_APPLICABLE,"非trial-to-paid","缺少试用收费说明"
S5-P,SUB-005,positive,RECURRING,"帮助/购买路径明确取消入口与截止规则; 若第三方购买说明由平台管理",PASS,"取消核心条件可合理发现","取消策略最佳"
S5-N,SUB-005,negative,RECURRING,"只写Cancel anytime; 实际页面存在下一配送前5天截止但购买/帮助路径难发现",ISSUE,"取消截止条件难以合理发现","商家恶意设置障碍"
S5-E,SUB-005,edge,MARKETPLACE_DEPENDENT,"官网明确App Store购买需在Apple订阅中取消",PASS,"第三方取消责任方清楚","官网必须提供直接取消按钮"
